OBJECTID,NEIGH_NO,NEIGH_NAME,DETL_NAMES,NEIGHDIST_NO,NEIGHDIST_NAME,AREA_ACRES,AREA_SQMI,F1990_PL_data_TOT_POP,F1990_PL_data_WHITE_NOT,F1990_PL_data_BLACK_NOT,F1990_PL_data_AMI_NOT,F1990_PL_data_ASIAN_NOT,F1990_PL_data_OTHER_NOT,F1990_PL_data_WHITE_HISP,F1990_PL_data_BLACK_HISP,F1990_PL_data_AMI_HISP,F1990_PL_data_ASIAN_HISP,F1990_PL_data_OTHER_HISP,F1990_PL_data_HISPANIC,F1990_PL_data_NOT_HISP,F1990_PL_data_POC,F1990_PL_data_POP_UNDER_18,F1990_PL_data_POC_U_18,F1990_PL_data_POP_OVER_18,F1990_PL_data_HU,F1990_PL_data_HU_OCC,F1990_PL_data_HU_VAC,F2000_PL_data_TOT_POP,F2000_PL_data_POP_ONE,F2000_PL_data_WHITE_ALONE,F2000_PL_data_BLACK_ALONE,F2000_PL_data_AMI_ALONE,F2000_PL_data_ASIAN_ALONE,F2000_PL_data_PI_ALONE,F2000_PL_data_OTHER_ALONE,F2000_PL_data_TWO_MORE,F2000_PL_data_HISPANIC,F2000_PL_data_NOT_HISPANIC,F2000_PL_data_WHITE_NOT_HISPANI,F2000_PL_data_BLACK_NOT_HISPANI,F2000_PL_data_AMI_NOT_HISPANIC,F2000_PL_data_ASIAN_NOT_HISPANI,F2000_PL_data_PI_NOT_HISPANIC,F2000_PL_data_OTHER_NOT_HISPANI,F2000_PL_data_TWO__NOT_HISPANIC,F2000_PL_data_POC,F2000_PL_data_POP_OVER_18,F2000_PL_data_POP_UNDER_18,F2000_PL_data_U_18_POC,F2000_PL_data_HU,F2000_PL_data_HU_OCC,F2000_PL_data_HU_VAC,F2010_PL_data_TOT_POP,F2010_PL_data_POP_ONE,F2010_PL_data_WHITE_ALONE,F2010_PL_data_BLACK_ALONE,F2010_PL_data_AMI_ALONE,F2010_PL_data_ASIAN_ALONE,F2010_PL_data_PI_ALONE,F2010_PL_data_OTHER_ALONE,F2010_PL_data_TWO_MORE,F2010_PL_data_HISPANIC,F2010_PL_data_NOT_HISPANIC,F2010_PL_data_WHITE_NOT_HISPANI,F2010_PL_data_BLACK_NOT_HISPANI,F2010_PL_data_AMI_NOT_HISPANIC,F2010_PL_data_ASIAN_NOT_HISPANI,F2010_PL_data_PI_NOT_HISPANIC,F2010_PL_data_OTHER_NOT_HISPANI,F2010_PL_data_TWO__NOT_HISPANIC,F2010_PL_data_POC,F2010_PL_data_POP_OVER_18,F2010_PL_data_POP_UNDER_18,F2010_PL_data_U_18_POC,F2010_PL_data_HU,F2010_PL_data_HU_OCC,F2010_PL_data_HU_VACANT,F2020_PL_data_TOT_POP,F2020_PL_data_POP_ONE,F2020_PL_data_WHITE_ALONE,F2020_PL_data_BLACK_ALONE,F2020_PL_data_AMI_ALONE,F2020_PL_data_ASIAN_ALONE,F2020_PL_data_PI_ALONE,F2020_PL_data_OTHER_ALONE,F2020_PL_data_TWO_MORE,F2020_PL_data_HISPANIC,F2020_PL_data_NOT_HISPANIC,F2020_PL_data_WHITE_NOT_HISPANI,F2020_PL_data_BLACK_NOT_HISPANI,F2020_PL_data_AMI_NOT_HISPANIC,F2020_PL_data_ASIAN_NOT_HISPANI,F2020_PL_data_PI_NOT_HISPANIC,F2020_PL_data_OTHER_NOT_HISPANI,F2020_PL_data_TWO__NOT_HISPANIC,F2020_PL_data_POC,F2020_PL_data_POP_OVER_18,F2020_PL_data_POP_UNDER_18,F2020_PL_data_U_18_POC,F2020_PL_data_HU,F2020_PL_data_HU_OCC,F2020_PL_data_HU_VACANT,F1990_PL_data_GQ_I,F1990_PL_data_GQ_N_I,F2000_PL_data_GQ_I,F2000_PL_data_GQ_N_I,F2010_PL_data_GQ_I,F2010_PL_data_GQ_N_I,F2020_PL_data_GQ_I,F2020_PL_data_GQ_N_I,Shape__Area,Shape__Length
32,7.5,Laurelhurst/Sand Point,"Laurelhurst, Windermere, Sand Point, Hawthorne Hills, Magnuson Park",7,Northeast,1403.7,2.19,9644,8500,151,57,697,9,163,4,1,8,54,230,9414,1144,2036,305,7608,4184,4075,109,9890,9609,8489,137,39,846,18,80,281,221,9669,8368,136,34,845,18,26,242,1522,7595,2295,465,4340,4187,153,10479,10044,8624,203,31,1064,32,90,435,320,10159,8440,197,26,1062,32,20,382,2039,7834,2645,681,4620,4268,352,11420,10334,8156,393,58,1479,37,211,1086,601,10819,8026,372,36,1467,37,75,806,3394,8634,2786,1057,4773,4513,260,57,139,0,94,22,154,76,94,61143162.5530396,53933.1430303389
33,8.1,Northgate/Maple Leaf,"Maple Leaf, Northgate, Pinehurst",8,North,1146.5,1.79,11438,9265,397,112,1210,11,228,20,14,26,155,443,10995,2173,1541,467,9897,5986,5755,231,12645,11993,9342,610,98,1592,44,307,652,594,12051,9122,598,88,1586,43,41,573,3523,10980,1665,687,6598,6369,229,14057,13214,9914,777,147,1893,83,400,843,1039,13018,9426,756,119,1878,83,40,716,4631,11863,2194,986,7608,6875,733,16343,14528,9962,962,125,2776,58,645,1815,1480,14863,9697,946,67,2748,54,109,1242,6646,13785,2558,1273,8117,7638,479,43,51,31,16,29,141,80,326,49941666.2973633,33701.0783374207
34,8.2,Olympic Hills/Victory Heights,"Lake City, Victory Heights, Olympic Hills, Pinehurst, Jackson Park",8,North,1393.5,2.18,12557,10132,368,149,1520,11,182,9,9,23,154,377,12180,2425,2052,581,10505,6052,5842,210,13903,13160,9820,582,125,2206,54,373,743,747,13156,9521,564,112,2201,53,61,644,4382,11663,2240,1045,6633,6448,185,14587,13773,9809,1018,141,2346,55,404,814,1158,13429,9240,987,102,2326,54,31,689,5347,12248,2339,1221,7126,6671,455,16430,14455,9592,1294,139,2670,41,719,1975,1701,14729,9264,1260,77,2648,36,123,1321,7166,13763,2667,1513,7566,7237,329,43,31,3,73,4,188,0,150,60698770.1082764,39947.9571506261
35,8.3,Cedar Park/Meadowbrook,"Cedar Park, Lake City, Meadowbrook, Matthews Beach",8,North,1210.7,1.89,10760,8526,471,103,1288,17,180,16,14,41,104,355,10405,2234,1928,592,8832,4972,4817,155,11879,11286,8600,698,89,1518,33,348,593,724,11155,8284,680,81,1508,33,64,505,3595,9668,2211,932,5345,5183,162,12798,12066,8660,1151,135,1649,67,404,732,1021,11777,8188,1126,101,1647,59,35,621,4610,10407,2391,1183,6237,5780,457,14861,13251,8741,1541,147,2159,44,619,1610,1431,13430,8478,1513,74,2133,35,108,1089,6383,12279,2582,1426,7028,6636,392,46,14,45,58,65,78,36,110,52737272.5606995,47441.2501005824
36,9.1,Broadview/Bitter Lake,"Broadview, Bitter Lake",9,Northwest,1478.5,2.31,11076,9737,205,121,679,7,209,9,5,16,88,327,10749,1339,1589,280,9487,5657,5402,255,12612,12183,10124,432,122,1237,40,228,429,606,12006,9789,423,106,1230,39,29,390,2823,10743,1869,650,6364,6160,204,13557,12902,10087,933,120,1354,47,361,655,782,12775,9750,926,104,1338,46,31,580,3807,11544,2013,840,7514,6740,774,15715,14142,10023,1507,112,1775,43,682,1573,1339,14376,9797,1486,80,1760,42,106,1105,5918,13077,2638,1380,8014,7597,417,204,35,260,172,350,70,129,118,64401922.3554993,39475.8813488495
37,9.2,Licton Springs,Licton Springs,9,Northwest,524.6,0.82,7362,5808,354,125,784,4,158,8,9,22,90,287,7075,1554,1151,383,6211,3641,3501,140,8174,7758,5763,516,131,1017,36,295,416,630,7544,5522,496,119,1008,35,17,347,2652,7147,1027,553,4041,3899,142,8875,8334,5999,566,82,1295,23,369,541,825,8050,5640,547,63,1281,23,26,470,3235,7738,1137,642,4580,4267,313,10194,8932,5921,658,136,1618,33,566,1262,1263,8931,5669,648,86,1597,32,58,841,4525,8860,1334,788,4954,4743,211,128,6,91,88,0,35,0,199,22853046.7428894,20290.1609046662
38,9.3,Greenwood/Phinney Ridge,"Greenwood, Phinney Ridge, Woodland Park, Crown Hill",9,Northwest,1533.9,2.4,21554,18753,390,362,1294,26,371,8,25,29,296,729,20825,2801,3525,687,18029,10322,9952,370,22501,21575,18935,496,254,1497,37,356,926,946,21555,18476,480,236,1485,34,60,784,4025,19025,3476,1018,10873,10559,314,23948,22864,20051,585,191,1538,58,441,1084,1341,22607,19272,572,155,1521,56,74,957,4676,20078,3870,1107,11664,11085,579,26995,24142,20505,570,170,2246,41,610,2853,1844,25151,20022,550,126,2218,34,181,2020,6973,22319,4676,1626,12750,12146,604,350,44,118,171,175,216,211,100,66816440.3814087,40919.7616462226
39,9.4,Green Lake,"Green Lake, Meridian, Roosevelt, Woodland Park",9,Northwest,1330,2.08,12187,11057,160,90,566,11,168,5,5,14,111,303,11884,1130,1622,211,10565,6216,6019,197,12852,12347,11194,200,76,765,20,92,505,355,12497,10987,182,72,761,20,26,449,1865,11266,1586,360,6532,6282,250,14212,13532,12010,205,59,1093,12,153,680,598,13614,11622,195,52,1086,11,49,599,2590,12253,1959,514,7234,6797,437,17851,15762,12989,336,67,2004,17,349,2089,1203,16648,12677,324,43,1990,15,94,1505,5174,15245,2606,1005,9076,8562,514,51,1,73,26,37,2,136,31,57934789.2826538,34020.9644909899
40,9.5,Haller Lake,"Haller Lake, Pinehurst",9,Northwest,1247.6,1.95,9051,7188,259,93,1198,19,128,11,4,48,103,294,8757,1863,1528,459,7523,4105,3972,133,9846,9310,6707,504,167,1678,17,237,536,595,9251,6430,486,151,1673,17,21,473,3416,8113,1733,874,4322,4239,83,10229,9590,6598,705,90,1777,34,386,639,847,9382,6251,681,82,1763,31,47,527,3978,8419,1810,961,4699,4435,264,10900,9669,6150,926,100,1910,23,560,1231,1128,9772,5951,906,64,1893,21,69,868,4949,9008,1892,1067,4788,4533,255,113,0,0,188,19,37,6,90,54345395.1837463,36999.8288013253
41,10.1,North Beach/Blue Ridge,"Crown Hill, North Beach, Blue Ridge",10,Ballard,1284.4,2.01,10515,9607,123,98,436,10,138,0,9,22,72,241,10274,908,1731,223,8784,4804,4680,124,10969,10588,9538,200,99,588,24,139,381,353,10616,9361,200,97,583,23,16,336,1608,9001,1968,457,5083,4919,164,11433,10912,9692,274,89,665,11,181,521,586,10847,9376,267,75,657,11,21,440,2057,9243,2190,552,5279,5021,258,12481,11164,9515,301,66,974,34,274,1317,732,11749,9343,295,38,963,31,120,959,3138,10000,2481,850,5452,5259,193,0,71,0,111,4,114,0,78,55950011.0257874,39223.3913670584
42,10.2,Whittier Heights,"Whittier Heights, Loyal Heights, Crown Hill",10,Ballard,688.7,1.08,10791,9644,156,176,441,10,245,0,10,7,102,364,10427,1147,1815,241,8976,5326,5118,208,11082,10686,9680,188,133,426,15,244,396,522,10560,9448,183,125,412,14,59,319,1634,9389,1693,407,5486,5293,193,11861,11326,10283,183,83,552,28,197,535,642,11219,9925,176,71,543,28,39,437,1936,9765,2096,498,5721,5478,243,14310,12782,10818,180,68,1446,14,256,1528,892,13418,10589,171,43,1439,12,82,1082,3721,11693,2617,858,6715,6447,268,0,0,0,18,5,7,0,31,29997852.1387634,23916.8523830103
43,10.3,Sunset Hill/Loyal Heights,"Sunset Hill, Golden Gardens, Loyal Heights, Shilshole",10,Ballard,1035.4,1.62,12799,11831,127,155,387,10,161,3,19,8,98,289,12510,968,2077,227,10722,6458,6258,200,13251,12853,12041,129,120,374,22,167,398,460,12791,11797,123,109,372,22,34,334,1454,11083,2168,363,6601,6372,229,13902,13364,12466,162,70,523,18,125,538,549,13353,12113,152,65,516,18,26,463,1789,11535,2367,464,6976,6659,317,16050,14480,12911,181,62,1083,13,230,1570,879,15171,12657,172,52,1073,13,76,1128,3393,13268,2782,790,7982,7533,449,0,0,0,146,9,77,6,31,45104080.0266418,36780.1824359573
44,10.4,Ballard,"Ballard, West Woodland, Adams",10,Ballard,492.9,0.77,4428,3873,90,122,162,4,71,1,6,8,91,177,4251,555,516,124,3912,2636,2533,103,4916,4723,4154,152,72,193,22,130,193,304,4612,4014,149,66,189,16,18,160,902,4488,428,183,2955,2850,105,6739,6463,5701,203,59,375,13,112,276,390,6349,5467,190,54,365,13,16,244,1272,6249,490,185,4697,4020,677,11191,10023,7955,301,84,1361,30,292,1168,853,10338,7690,286,63,1351,30,76,842,3501,10493,698,333,7157,6808,349,42,94,146,82,0,193,0,452,21472310.5680847,22105.8322672023
45,11.1,Fremont,"Fremont, Wallingford, Northlake",11,Lake Union,893.6,1.4,13358,11833,302,202,593,24,200,13,14,13,164,404,12954,1525,1457,295,11901,7393,7087,306,14091,13614,12468,251,113,612,19,151,477,508,13583,12179,244,88,605,18,45,404,1912,12829,1262,326,8009,7734,275,15626,14872,13293,307,92,1002,17,161,754,660,14966,12884,296,86,986,17,39,658,2742,14016,1610,474,8819,8292,527,19217,17282,14355,376,100,2096,25,330,1935,1157,18060,14025,362,61,2065,20,115,1412,5192,17177,2040,791,10537,10095,442,120,210,0,137,107,131,63,128,38927120.2158203,38111.8282463366
46,11.2,Wallingford,"Wallingford, Meridian, Northlake, University District",11,Lake Union,810.5,1.27,12990,11116,278,105,1059,21,225,9,13,31,133,411,12579,1874,1392,205,11598,6378,6129,249,14400,13818,11918,241,109,1309,48,193,582,560,13840,11635,229,92,1297,45,29,513,2765,13058,1342,315,7114,6842,272,16014,15186,12239,350,65,2286,41,205,828,777,15237,11791,328,54,2265,41,30,728,4223,14193,1821,509,7930,7425,505,19000,16937,12061,487,84,3778,35,492,2063,1305,17695,11738,469,66,3754,25,109,1534,7262,16577,2423,1020,9507,8865,642,0,14,0,165,29,98,0,215,35303307.1841736,30364.4402565914
47,11.3,Cascade/Eastlake,"South Lake Union, Eastlake, Cascade, Denny Triangle",11,Lake Union,727.6,1.14,5260,4496,246,91,226,9,100,6,19,11,56,192,5068,764,221,62,5039,3950,3632,318,8256,7920,6334,683,152,576,27,148,336,428,7828,6095,667,140,574,22,24,306,2161,7854,402,227,5626,5019,607,13526,12876,9748,984,161,1685,49,249,650,909,12617,9213,960,144,1676,47,27,550,4313,13077,449,250,10834,8853,1981,29182,26703,14236,1503,147,10000,70,747,2479,2164,27018,13666,1463,97,9986,65,197,1544,15516,27894,1288,859,20377,18861,1516,0,149,82,1236,11,1138,337,811,31694570.762207,36451.4927302637
48,12.1,Magnolia,"Magnolia, Discovery Park, Briarcliff, Lawton Park",12,Magnolia/Queen Anne,1968.4,3.08,11925,10858,138,68,600,4,152,1,5,36,63,257,11668,1067,2230,269,9695,5398,5241,157,12219,11876,10877,163,52,650,37,97,343,328,11891,10686,159,47,646,35,26,292,1533,9841,2378,453,5569,5398,171,12383,11908,10885,143,39,736,18,87,475,383,12000,10622,138,33,727,18,33,429,1761,9728,2655,517,5669,5299,370,13716,12294,10864,117,35,1098,27,153,1422,688,13028,10701,115,24,1093,25,64,1006,3015,10503,3213,980,5752,5496,256,34,22,33,22,0,21,12,15,85743405.9176025,49411.838275907
49,12.2,Interbay,Interbay,12,Magnolia/Queen Anne,1214.6,1.9,8494,7310,270,85,489,5,190,17,6,41,81,335,8159,1184,855,196,7639,4845,4601,244,9360,9019,7911,245,88,582,32,161,341,430,8930,7675,242,78,579,28,28,300,1685,8369,991,321,5161,4892,269,9802,9309,8010,309,76,668,45,201,493,695,9107,7599,297,62,664,43,21,421,2203,8655,1147,381,5485,5025,460,12456,11034,8518,384,107,1484,49,492,1422,1283,11173,8185,367,64,1465,46,87,959,4271,10751,1705,775,6477,6142,335,0,347,0,527,17,561,7,360,52907762.843811,68274.9177647797
50,12.3,Queen Anne,"Queen Anne, Lower Queen Anne, Uptown, Seattle Center, Westlake",12,Magnolia/Queen Anne,1888.4,2.95,29339,26683,610,209,1127,24,377,17,13,29,250,686,28653,2656,2843,334,26496,17052,16065,987,31964,30998,28234,622,192,1585,52,313,966,971,30993,27706,600,166,1568,50,59,844,4258,29177,2787,546,18833,17637,1196,35458,33896,30014,811,209,2409,59,394,1562,1636,33822,29002,778,182,2380,56,56,1368,6456,31835,3623,894,21160,19359,1801,45992,41506,31130,1346,248,7705,81,996,4486,3334,42658,30196,1295,171,7628,75,248,3045,15796,40918,5074,2072,26059,24246,1813,502,1246,182,1992,188,1746,437,2058,82260154.401947,54354.4525044512
51,13.1,Belltown,"Belltown, Denny Regrade",13,Downtown,176.5,0.28,3049,2544,209,75,122,1,44,13,7,5,29,98,2951,505,44,15,3005,2564,2291,273,6172,5917,4580,587,121,501,13,115,255,317,5855,4425,567,109,497,12,20,225,1747,6000,172,94,4767,4266,501,8601,8229,6157,631,120,1147,33,141,372,532,8069,5844,611,111,1135,33,17,318,2757,8425,176,80,6913,5932,981,11948,10972,6678,746,128,3084,24,312,976,868,11080,6458,729,93,3073,21,87,619,5490,11570,378,256,8942,8033,909,0,139,0,496,0,623,0,424,7687660.42980957,18767.511533731
52,13.2,Downtown Commercial Core,"Downtown Commercial Core, West Edge, Central Business District, Pike Place Market, Pioneer Square",13,Downtown,206.5,0.32,1844,1284,292,63,72,2,69,12,11,1,38,131,1713,560,64,25,1780,1096,979,117,3477,3313,2423,468,101,232,10,79,164,229,3248,2325,454,100,227,10,8,124,1152,3320,157,108,2345,1962,383,4070,3944,2950,398,81,421,8,86,126,214,3856,2838,386,71,417,8,23,113,1232,3969,101,43,3100,2521,579,5813,5302,3514,498,85,1038,13,154,511,438,5375,3385,484,80,1035,9,40,342,2428,5668,145,97,4289,3544,745,66,578,75,853,104,593,106,588,8994487.324646,18976.0730856154
53,13.3,Pioneer Square/International District,"Pioneer Square, International District, Chinatown, Little Saigon, ID, Chinatown-International District",13,Downtown,180.6,0.28,3273,1272,580,100,1033,3,120,22,21,47,75,285,2988,2001,288,244,2985,1584,1515,69,3919,3647,1213,587,76,1676,14,81,272,254,3665,1098,571,65,1674,14,16,227,2821,3538,381,346,2280,2137,143,5333,5083,1718,902,88,2247,20,108,250,322,5011,1589,884,75,2241,14,16,192,3744,4879,454,427,3398,3173,225,6309,5746,2094,766,97,2529,30,230,563,552,5757,1970,739,85,2516,28,39,380,4339,5847,462,408,4207,3710,497,0,1028,0,692,0,654,72,699,7865656.14645386,17719.2118284228
