,Service Area,School Name,Year,Indicator Name,Value
22,Hamilton,B. F. Day,2015,Enrollment,285.0
23,Hamilton,Cascadia,2015,Enrollment,753.0
24,Hamilton,J. Stanford Intl,2015,Enrollment,457.0
25,Hamilton,Licton Springs K-8,2015,Enrollment,138.0
26,Hamilton,McDonald Intl,2015,Enrollment,453.0
27,Hamilton,West Woodland,2015,Enrollment,532.0
28,Jane Addams,John Rogers,2015,Enrollment,390.0
29,Jane Addams,Olympic Hills,2015,Enrollment,294.0
30,Jane Addams,Sacajawea,2015,Enrollment,232.0
31,Madison,Alki,2015,Enrollment,413.0
32,Madison,Fairmount Park*,2015,Enrollment,474.0
33,Madison,Gatewood,2015,Enrollment,430.0
34,Madison,Lafayette,2015,Enrollment,480.0
35,Madison,Pathfinder K-8,2015,Enrollment,506.0
36,Madison,Sanislo,2015,Enrollment,273.0
37,Madison,Schmitz Park,2015,Enrollment,643.0
38,McClure,Catharine Blaine K-8,2015,Enrollment,736.0
39,McClure,Coe,2015,Enrollment,545.0
40,McClure,John Hay,2015,Enrollment,500.0
41,McClure,Lawton,2015,Enrollment,426.0
42,McClure,Queen Anne,2015,Enrollment,428.0
43,Mercer,Beacon Hill Intl,2015,Enrollment,459.0
44,Mercer,Dearborn Park,2015,Enrollment,373.0
45,Mercer,Hawthorne,2015,Enrollment,391.0
46,Mercer,Kimball,2015,Enrollment,429.0
47,Mercer,Maple,2015,Enrollment,480.0
48,Mercer,Orca K-8,2015,Enrollment,415.0
49,Mercer,Van Asselt,2015,Enrollment,511.0
50,Washington,Bailey Gatzert,2015,Enrollment,295.0
51,Washington,John Muir,2015,Enrollment,396.0
52,Washington,Leschi,2015,Enrollment,368.0
53,Washington,Lowell,2015,Enrollment,314.0
54,Washington,Madrona K-8,2015,Enrollment,289.0
55,Washington,McGilvra,2015,Enrollment,275.0
56,Washington,Montlake,2015,Enrollment,264.0
57,Washington,Stevens,2015,Enrollment,337.0
58,Washington,T. Marshall,2015,Enrollment,528.0
59,Washington,TOPS K-8,2015,Enrollment,484.0
60,Whitman,Adams,2015,Enrollment,544.0
61,Whitman,Broadview-Thomson K-8,2015,Enrollment,612.0
62,Whitman,Daniel Bagley,2015,Enrollment,432.0
63,Whitman,Greenwood,2015,Enrollment,346.0
64,Whitman,Loyal Heights,2015,Enrollment,427.0
65,Whitman,North Beach,2015,Enrollment,293.0
66,Whitman,Northgate,2015,Enrollment,242.0
67,Whitman,Salmon Bay K-8,2015,Enrollment,670.0
68,Whitman,Viewlands,2015,Enrollment,383.0
69,Whitman,Whittier,2015,Enrollment,469.0
70,Middle Schools,Aki Kurose,2015,Enrollment,720.0
71,Middle Schools,Denny Intl,2015,Enrollment,864.0
72,Middle Schools,Eckstein,2015,Enrollment,907.0
73,Middle Schools,Hamilton Intl,2015,Enrollment,1098.0
74,Middle Schools,Jane Addams*,2015,Enrollment,825.0
75,Middle Schools,Madison,2015,Enrollment,777.0
76,Middle Schools,McClure,2015,Enrollment,554.0
77,Middle Schools,Mercer Intl,2015,Enrollment,1101.0
78,Middle Schools,Washington,2015,Enrollment,1079.0
79,Middle Schools,Whitman,2015,Enrollment,860.0
80,High Schools,Ballard,2015,Enrollment,1665.0
81,High Schools,Center School,2015,Enrollment,263.0
82,High Schools,Chief Sealth Intl,2015,Enrollment,1147.0
83,High Schools,Cleveland STEM,2015,Enrollment,834.0
84,High Schools,Franklin,2015,Enrollment,1290.0
85,High Schools,Garfield,2015,Enrollment,1672.0
86,High Schools,Ingraham,2015,Enrollment,1211.0
87,High Schools,Nathan Hale,2015,Enrollment,1175.0
88,High Schools,Nova,2015,Enrollment,344.0
89,High Schools,Rainier Beach,2015,Enrollment,655.0
90,High Schools,Roosevelt,2015,Enrollment,1689.0
91,High Schools,West Seattle,2015,Enrollment,934.0
92,Service Schools,Bridges Transition Program**,2015,Enrollment,85.0
93,Service Schools,Cascade Parent Partnership Program,2015,Enrollment,151.0
94,Service Schools,Education Service Ctrs,2015,Enrollment,15.0
95,Service Schools,InterAgency,2015,Enrollment,352.0
96,Service Schools,Middle College,2015,Enrollment,128.0
97,Service Schools,Seattle World School,2015,Enrollment,209.0
98,Service Schools,South Lake,2015,Enrollment,98.0
99,Service Schools,SpEd Consortium,2015,Enrollment,104.0
100,All,TOTAL,2015,Enrollment,52324.0
0,Aki Kurose,Dunlap,2016,Enrollment,284.0
1,Aki Kurose,Emerson,2016,Enrollment,287.0
2,Aki Kurose,Graham Hill,2016,Enrollment,352.0
3,Aki Kurose,Martin Luther King Jr.,2016,Enrollment,292.0
4,Aki Kurose,Rainier View,2016,Enrollment,226.0
5,Aki Kurose,South Shore PK-8,2016,Enrollment,613.0
6,Aki Kurose,Wing Luke,2016,Enrollment,356.0
7,Denny,Arbor Heights,2016,Enrollment,459.0
8,Denny,Concord Intl,2016,Enrollment,356.0
9,Denny,Highland Park,2016,Enrollment,357.0
10,Denny,Roxhill,2016,Enrollment,299.0
11,Denny,Sanislo,2016,Enrollment,257.0
12,Denny,STEM K-8,2016,Enrollment,470.0
13,Denny,West Seattle Elem,2016,Enrollment,443.0
14,Eagle Staff,Broadview-Thomson K-8,2016,Enrollment,613.0
15,Eagle Staff,Cascadia,2016,Enrollment,754.0
16,Eagle Staff,Daniel Bagley,2016,Enrollment,427.0
17,Eagle Staff,Greenwood,2016,Enrollment,349.0
18,Eagle Staff,Licton Springs K-8,2016,Enrollment,131.0
19,Eagle Staff,Northgate,2016,Enrollment,282.0
20,Eagle Staff,Olympic View,2016,Enrollment,494.0
21,Eckstein,Bryant,2016,Enrollment,594.0
23,Eckstein,Green Lake,2016,Enrollment,421.0
24,Eckstein,Laurelhurst,2016,Enrollment,403.0
25,Eckstein,Sand Point,2016,Enrollment,224.0
26,Eckstein,Thornton Creek,2016,Enrollment,459.0
27,Eckstein,View Ridge,2016,Enrollment,571.0
28,Eckstein,Wedgwood,2016,Enrollment,480.0
29,Hamilton,B. F. Day,2016,Enrollment,290.0
30,Hamilton,J. Stanford Intl,2016,Enrollment,431.0
31,Hamilton,McDonald Intl,2016,Enrollment,457.0
32,Hamilton,West Woodland,2016,Enrollment,545.0
34,Jane Addams,Hazel Wolf K-8,2016,Enrollment,713.0
35,Jane Addams,John Rogers,2016,Enrollment,366.0
36,Jane Addams,Olympic Hills,2016,Enrollment,353.0
37,Jane Addams,Sacajawea,2016,Enrollment,247.0
38,Madison,Alki,2016,Enrollment,380.0
39,Madison,Fairmount Park,2016,Enrollment,518.0
40,Madison,Gatewood,2016,Enrollment,388.0
41,Madison,Genesee Hill,2016,Enrollment,691.0
42,Madison,Lafayette,2016,Enrollment,448.0
43,Madison,Pathfinder K-8,2016,Enrollment,492.0
44,McClure,Catharine Blaine K-8,2016,Enrollment,771.0
45,McClure,Coe,2016,Enrollment,560.0
46,McClure,John Hay,2016,Enrollment,499.0
47,McClure,Lawton,2016,Enrollment,443.0
48,McClure,Queen Anne,2016,Enrollment,418.0
49,Meany,Leschi,2016,Enrollment,401.0
50,Meany,Lowell,2016,Enrollment,330.0
51,Meany,Madrona*,2016,Enrollment,297.0
52,Meany,McGilvra,2016,Enrollment,282.0
53,Meany,Montlake,2016,Enrollment,264.0
54,Meany,Stevens,2016,Enrollment,300.0
55,Meany,TOPS K-8,2016,Enrollment,471.0
56,Mercer,Beacon Hill Intl,2016,Enrollment,422.0
57,Mercer,Dearborn Park Intl,2016,Enrollment,354.0
58,Mercer,Hawthorne,2016,Enrollment,385.0
59,Mercer,Kimball,2016,Enrollment,414.0
60,Mercer,Maple,2016,Enrollment,502.0
61,Mercer,Orca K-8,2016,Enrollment,371.0
62,Mercer,Van Asselt,2016,Enrollment,474.0
63,Washington,Bailey Gatzert,2016,Enrollment,302.0
64,Washington,John Muir,2016,Enrollment,402.0
65,Washington,T. Marshall,2016,Enrollment,544.0
66,Whitman,Adams,2016,Enrollment,573.0
67,Whitman,Loyal Heights,2016,Enrollment,411.0
68,Whitman,North Beach,2016,Enrollment,319.0
69,Whitman,Salmon Bay K-8,2016,Enrollment,658.0
70,Whitman,Viewlands,2016,Enrollment,377.0
71,Whitman,Whittier,2016,Enrollment,477.0
72,Middle Schools,Aki Kurose,2016,Enrollment,741.0
73,Middle Schools,Denny Intl,2016,Enrollment,827.0
75,Middle Schools,Eckstein,2016,Enrollment,980.0
76,Middle Schools,Hamilton Intl,2016,Enrollment,1203.0
77,Middle Schools,Jane Addams,2016,Enrollment,930.0
78,Middle Schools,Madison,2016,Enrollment,866.0
79,Middle Schools,McClure,2016,Enrollment,552.0
81,Middle Schools,Mercer Intl,2016,Enrollment,1181.0
82,Middle Schools,Washington,2016,Enrollment,1090.0
83,Middle Schools,Whitman,2016,Enrollment,855.0
84,High Schools,Ballard,2016,Enrollment,1798.0
85,High Schools,Center School,2016,Enrollment,221.0
86,High Schools,Chief Sealth Intl,2016,Enrollment,1090.0
87,High Schools,Cleveland STEM,2016,Enrollment,844.0
88,High Schools,Franklin,2016,Enrollment,1237.0
89,High Schools,Garfield,2016,Enrollment,1716.0
90,High Schools,Ingraham,2016,Enrollment,1305.0
91,High Schools,Nathan Hale,2016,Enrollment,1147.0
92,High Schools,Rainier Beach,2016,Enrollment,680.0
93,High Schools,Roosevelt,2016,Enrollment,1715.0
94,High Schools,West Seattle,2016,Enrollment,949.0
95,Service Schools,Bridges Transition Program,2016,Enrollment,97.0
96,Service Schools,Cascade Parent Partnership Program,2016,Enrollment,158.0
97,Service Schools,In Tandem,2016,Enrollment,7.0
98,Service Schools,InterAgency,2016,Enrollment,394.0
99,Service Schools,Middle College,2016,Enrollment,128.0
100,Service Schools,Non Public Agencies,2016,Enrollment,22.0
101,Service Schools,Nova**,2016,Enrollment,337.0
102,Service Schools,Seattle World School,2016,Enrollment,277.0
103,Service Schools,South Lake,2016,Enrollment,76.0
104,Service Schools,SpEd Consortium,2016,Enrollment,86.0
105,All,TOTAL,2016,Enrollment,53102.0
0,Aki Kurose,Dunlap,2017,Enrollment,270.0
1,Aki Kurose,Emerson,2017,Enrollment,322.0
2,Aki Kurose,Graham Hill,2017,Enrollment,358.0
3,Aki Kurose,Martin Luther King Jr.,2017,Enrollment,278.0
4,Aki Kurose,Rainier View,2017,Enrollment,243.0
5,Aki Kurose,South Shore PK-8,2017,Enrollment,520.0
6,Aki Kurose,Wing Luke,2017,Enrollment,337.0
7,Denny,Arbor Heights,2017,Enrollment,521.0
8,Denny,Concord Intl,2017,Enrollment,347.0
9,Denny,Highland Park,2017,Enrollment,319.0
10,Denny,Roxhill,2017,Enrollment,270.0
11,Denny,Sanislo,2017,Enrollment,236.0
12,Denny,STEM K-8,2017,Enrollment,535.0
13,Denny,West Seattle Elem,2017,Enrollment,434.0
14,Eagle Staff,Broadview-Thomson K-8,2017,Enrollment,531.0
15,Eagle Staff,Cascadia,2017,Enrollment,525.0
16,Eagle Staff,Daniel Bagley,2017,Enrollment,426.0
17,Eagle Staff,Greenwood,2017,Enrollment,345.0
18,Eagle Staff,Licton Springs K-8,2017,Enrollment,164.0
19,Eagle Staff,Northgate,2017,Enrollment,255.0
20,Eagle Staff,Olympic View,2017,Enrollment,449.0
21,Eckstein,Bryant,2017,Enrollment,587.0
22,Eckstein,Decatur,2017,Enrollment,242.0
23,Eckstein,Green Lake,2017,Enrollment,433.0
24,Eckstein,Laurelhurst,2017,Enrollment,354.0
25,Eckstein,Sand Point,2017,Enrollment,203.0
26,Eckstein,Thornton Creek,2017,Enrollment,521.0
27,Eckstein,View Ridge,2017,Enrollment,550.0
28,Eckstein,Wedgwood,2017,Enrollment,480.0
29,Hamilton,B. F. Day,2017,Enrollment,283.0
30,Hamilton,J. Stanford Intl,2017,Enrollment,452.0
31,Hamilton,McDonald Intl,2017,Enrollment,464.0
32,Hamilton,West Woodland,2017,Enrollment,565.0
33,Jane Addams,Cedar Park,2017,Enrollment,55.0
34,Jane Addams,Hazel Wolf K-8,2017,Enrollment,736.0
35,Jane Addams,John Rogers,2017,Enrollment,349.0
36,Jane Addams,Olympic Hills,2017,Enrollment,381.0
37,Jane Addams,Sacajawea,2017,Enrollment,236.0
38,Madison,Alki,2017,Enrollment,373.0
39,Madison,Fairmount Park,2017,Enrollment,537.0
40,Madison,Gatewood,2017,Enrollment,376.0
41,Madison,Genesee Hill,2017,Enrollment,718.0
42,Madison,Lafayette,2017,Enrollment,394.0
43,Madison,Pathfinder K-8,2017,Enrollment,487.0
44,McClure,Catharine Blaine K-8,2017,Enrollment,781.0
45,McClure,Coe,2017,Enrollment,560.0
46,McClure,John Hay,2017,Enrollment,491.0
47,McClure,Lawton,2017,Enrollment,453.0
48,McClure,Queen Anne,2017,Enrollment,352.0
49,Meany,Leschi,2017,Enrollment,402.0
50,Meany,Lowell,2017,Enrollment,358.0
51,Meany,Madrona*,2017,Enrollment,234.0
52,Meany,McGilvra,2017,Enrollment,242.0
53,Meany,Montlake,2017,Enrollment,269.0
54,Meany,Stevens,2017,Enrollment,287.0
55,Meany,TOPS K-8,2017,Enrollment,471.0
56,Mercer,Beacon Hill Intl,2017,Enrollment,417.0
57,Mercer,Dearborn Park Intl,2017,Enrollment,352.0
58,Mercer,Hawthorne,2017,Enrollment,407.0
59,Mercer,Kimball,2017,Enrollment,443.0
60,Mercer,Maple,2017,Enrollment,532.0
61,Mercer,Orca K-8,2017,Enrollment,391.0
62,Mercer,Van Asselt,2017,Enrollment,428.0
63,Washington,Bailey Gatzert,2017,Enrollment,284.0
64,Washington,John Muir,2017,Enrollment,367.0
65,Washington,T. Marshall,2017,Enrollment,575.0
66,Whitman,Adams,2017,Enrollment,551.0
67,Whitman,Loyal Heights,2017,Enrollment,398.0
68,Whitman,North Beach,2017,Enrollment,328.0
69,Whitman,Salmon Bay K-8,2017,Enrollment,659.0
70,Whitman,Viewlands,2017,Enrollment,399.0
71,Whitman,Whittier,2017,Enrollment,495.0
72,Middle Schools,Aki Kurose,2017,Enrollment,686.0
73,Middle Schools,Denny Intl,2017,Enrollment,835.0
74,Middle Schools,Eagle Staff,2017,Enrollment,716.0
75,Middle Schools,Eckstein,2017,Enrollment,967.0
76,Middle Schools,Hamilton Intl,2017,Enrollment,986.0
77,Middle Schools,Jane Addams,2017,Enrollment,916.0
78,Middle Schools,Madison,2017,Enrollment,881.0
79,Middle Schools,McClure,2017,Enrollment,540.0
80,Middle Schools,Meany,2017,Enrollment,492.0
81,Middle Schools,Mercer Intl,2017,Enrollment,1136.0
82,Middle Schools,Washington,2017,Enrollment,712.0
83,Middle Schools,Whitman,2017,Enrollment,566.0
84,High Schools,Ballard,2017,Enrollment,1882.0
85,High Schools,Center School,2017,Enrollment,229.0
86,High Schools,Chief Sealth Intl,2017,Enrollment,1015.0
87,High Schools,Cleveland STEM,2017,Enrollment,849.0
88,High Schools,Franklin,2017,Enrollment,1284.0
89,High Schools,Garfield,2017,Enrollment,1774.0
90,High Schools,Ingraham,2017,Enrollment,1342.0
91,High Schools,Nathan Hale,2017,Enrollment,1189.0
92,High Schools,Rainier Beach,2017,Enrollment,721.0
93,High Schools,Roosevelt,2017,Enrollment,1840.0
94,High Schools,West Seattle,2017,Enrollment,970.0
95,Service Schools,Bridges Transition Program,2017,Enrollment,137.0
96,Service Schools,Cascade Parent Partnership Program,2017,Enrollment,174.0
97,Service Schools,In Tandem,2017,Enrollment,4.0
98,Service Schools,InterAgency,2017,Enrollment,347.0
99,Service Schools,Middle College,2017,Enrollment,69.0
100,Service Schools,Non Public Agencies,2017,Enrollment,18.0
101,Service Schools,Nova**,2017,Enrollment,312.0
102,Service Schools,Seattle World School,2017,Enrollment,272.0
103,Service Schools,South Lake,2017,Enrollment,58.0
104,Service Schools,SpEd Consortium,2017,Enrollment,74.0
105,All,TOTAL,2017,Enrollment,53380.0
0,Aki Kurose,Dunlap,2018,Enrollment,244.0
1,Aki Kurose,Emerson,2018,Enrollment,335.0
2,Aki Kurose,Graham Hill,2018,Enrollment,322.0
3,Aki Kurose,Martin Luther King Jr.,2018,Enrollment,276.0
4,Aki Kurose,Rainier View,2018,Enrollment,237.0
5,Aki Kurose,South Shore PK-8,2018,Enrollment,531.0
6,Aki Kurose,Wing Luke,2018,Enrollment,333.0
7,Denny,Arbor Heights,2018,Enrollment,548.0
8,Denny,Concord Intl,2018,Enrollment,360.0
9,Denny,Highland Park,2018,Enrollment,314.0
10,Denny,Roxhill,2018,Enrollment,259.0
11,Denny,Sanislo,2018,Enrollment,218.0
12,Denny,STEM K-8,2018,Enrollment,538.0
13,Denny,West Seattle Elem,2018,Enrollment,428.0
14,Eagle Staff,Broadview-Thomson K-8,2018,Enrollment,503.0
15,Eagle Staff,Cascadia,2018,Enrollment,512.0
16,Eagle Staff,Daniel Bagley,2018,Enrollment,403.0
17,Eagle Staff,Greenwood,2018,Enrollment,327.0
18,Eagle Staff,Licton Springs K-8,2018,Enrollment,175.0
19,Eagle Staff,Northgate,2018,Enrollment,207.0
20,Eagle Staff,Olympic View,2018,Enrollment,440.0
21,Eckstein,Bryant,2018,Enrollment,556.0
22,Eckstein,Decatur,2018,Enrollment,246.0
23,Eckstein,Green Lake,2018,Enrollment,443.0
24,Eckstein,Laurelhurst,2018,Enrollment,342.0
25,Eckstein,Sand Point,2018,Enrollment,171.0
26,Eckstein,Thornton Creek,2018,Enrollment,570.0
27,Eckstein,View Ridge,2018,Enrollment,514.0
28,Eckstein,Wedgwood,2018,Enrollment,478.0
29,Hamilton,B. F. Day,2018,Enrollment,312.0
30,Hamilton,J. Stanford Intl,2018,Enrollment,468.0
31,Hamilton,McDonald Intl,2018,Enrollment,480.0
32,Hamilton,West Woodland,2018,Enrollment,539.0
33,Jane Addams,Cedar Park,2018,Enrollment,114.0
34,Jane Addams,Hazel Wolf K-8,2018,Enrollment,739.0
35,Jane Addams,John Rogers,2018,Enrollment,343.0
36,Jane Addams,Olympic Hills,2018,Enrollment,443.0
37,Jane Addams,Sacajawea,2018,Enrollment,227.0
38,Madison,Alki,2018,Enrollment,368.0
39,Madison,Fairmount Park,2018,Enrollment,525.0
40,Madison,Gatewood,2018,Enrollment,396.0
41,Madison,Genesee Hill,2018,Enrollment,678.0
42,Madison,Lafayette,2018,Enrollment,415.0
43,Madison,Pathfinder K-8,2018,Enrollment,489.0
44,McClure,Catharine Blaine K-8,2018,Enrollment,759.0
45,McClure,Coe,2018,Enrollment,535.0
46,McClure,John Hay,2018,Enrollment,481.0
47,McClure,Lawton,2018,Enrollment,468.0
48,McClure,Queen Anne,2018,Enrollment,292.0
49,Meany,Leschi,2018,Enrollment,376.0
50,Meany,Lowell,2018,Enrollment,272.0
51,Meany,Madrona*,2018,Enrollment,244.0
52,Meany,McGilvra,2018,Enrollment,247.0
53,Meany,Montlake,2018,Enrollment,252.0
54,Meany,Stevens,2018,Enrollment,246.0
55,Meany,TOPS K-8,2018,Enrollment,484.0
56,Mercer,Beacon Hill Intl,2018,Enrollment,413.0
57,Mercer,Dearborn Park Intl,2018,Enrollment,322.0
58,Mercer,Hawthorne,2018,Enrollment,402.0
59,Mercer,Kimball,2018,Enrollment,440.0
60,Mercer,Maple,2018,Enrollment,546.0
61,Mercer,Orca K-8,2018,Enrollment,394.0
62,Mercer,Van Asselt,2018,Enrollment,402.0
63,Washington,Bailey Gatzert,2018,Enrollment,279.0
64,Washington,John Muir,2018,Enrollment,342.0
65,Washington,T. Marshall,2018,Enrollment,496.0
66,Whitman,Adams,2018,Enrollment,535.0
67,Whitman,Loyal Heights,2018,Enrollment,449.0
68,Whitman,North Beach,2018,Enrollment,370.0
69,Whitman,Salmon Bay K-8,2018,Enrollment,654.0
70,Whitman,Viewlands,2018,Enrollment,363.0
71,Whitman,Whittier,2018,Enrollment,441.0
72,Middle Schools,Aki Kurose,2018,Enrollment,664.0
73,Middle Schools,Denny Intl,2018,Enrollment,866.0
74,Middle Schools,Eagle Staff,2018,Enrollment,838.0
75,Middle Schools,Eckstein,2018,Enrollment,1037.0
76,Middle Schools,Hamilton Intl,2018,Enrollment,1030.0
77,Middle Schools,Jane Addams,2018,Enrollment,936.0
78,Middle Schools,Madison,2018,Enrollment,951.0
79,Middle Schools,McClure,2018,Enrollment,537.0
80,Middle Schools,Meany,2018,Enrollment,498.0
81,Middle Schools,Mercer Intl,2018,Enrollment,1146.0
82,Middle Schools,Washington,2018,Enrollment,669.0
83,Middle Schools,Whitman,2018,Enrollment,574.0
84,High Schools,Ballard,2018,Enrollment,1971.0
85,High Schools,Center School,2018,Enrollment,233.0
86,High Schools,Chief Sealth Intl,2018,Enrollment,994.0
87,High Schools,Cleveland STEM,2018,Enrollment,848.0
88,High Schools,Franklin,2018,Enrollment,1178.0
89,High Schools,Garfield,2018,Enrollment,1658.0
90,High Schools,Ingraham,2018,Enrollment,1346.0
91,High Schools,Nathan Hale,2018,Enrollment,1137.0
92,High Schools,Rainier Beach,2018,Enrollment,740.0
93,High Schools,Roosevelt,2018,Enrollment,1877.0
94,High Schools,West Seattle,2018,Enrollment,960.0
95,Service Schools,Bridges Transition Program,2018,Enrollment,125.0
96,Service Schools,Cascade Parent Partnership Program,2018,Enrollment,169.0
97,Service Schools,In Tandem,2018,Enrollment,12.0
98,Service Schools,InterAgency,2018,Enrollment,360.0
99,Service Schools,Middle College,2018,Enrollment,45.0
100,Service Schools,Non Public Agencies,2018,Enrollment,28.0
101,Service Schools,Nova**,2018,Enrollment,266.0
102,Service Schools,Seattle World School,2018,Enrollment,241.0
103,Service Schools,South Lake,2018,Enrollment,59.0
104,Service Schools,SpEd Consortium,2018,Enrollment,68.0
105,All,TOTAL,2018,Enrollment,52931.0
0,Aki Kurose,Dunlap,2019,Enrollment,269.0
1,Aki Kurose,Emerson,2019,Enrollment,341.0
2,Aki Kurose,Graham Hill,2019,Enrollment,331.0
3,Aki Kurose,Martin Luther King Jr.,2019,Enrollment,276.0
4,Aki Kurose,Rainier View,2019,Enrollment,244.0
5,Aki Kurose,South Shore PK-8,2019,Enrollment,550.0
6,Aki Kurose,Wing Luke,2019,Enrollment,311.0
7,Denny,Arbor Heights,2019,Enrollment,565.0
8,Denny,Concord Intl,2019,Enrollment,325.0
9,Denny,Highland Park,2019,Enrollment,314.0
10,Denny,Roxhill,2019,Enrollment,249.0
11,Denny,Sanislo,2019,Enrollment,218.0
12,Denny,STEM K-8,2019,Enrollment,542.0
13,Denny,West Seattle Elem,2019,Enrollment,430.0
14,Eagle Staff,Broadview-Thomson K-8,2019,Enrollment,570.0
15,Eagle Staff,Cascadia,2019,Enrollment,506.0
16,Eagle Staff,Daniel Bagley,2019,Enrollment,389.0
17,Eagle Staff,Greenwood,2019,Enrollment,321.0
18,Eagle Staff,Licton Springs K-8,2019,Enrollment,164.0
19,Eagle Staff,Northgate,2019,Enrollment,217.0
20,Eagle Staff,Olympic View,2019,Enrollment,455.0
21,Eckstein,Bryant,2019,Enrollment,582.0
22,Eckstein,Decatur,2019,Enrollment,231.0
23,Eckstein,Green Lake,2019,Enrollment,427.0
24,Eckstein,Laurelhurst,2019,Enrollment,298.0
25,Eckstein,Sand Point,2019,Enrollment,192.0
26,Eckstein,Thornton Creek,2019,Enrollment,543.0
27,Eckstein,View Ridge,2019,Enrollment,473.0
28,Eckstein,Wedgwood,2019,Enrollment,463.0
29,Hamilton,B. F. Day,2019,Enrollment,374.0
30,Hamilton,J. Stanford Intl,2019,Enrollment,466.0
31,Hamilton,McDonald Intl,2019,Enrollment,478.0
32,Hamilton,West Woodland,2019,Enrollment,539.0
33,Jane Addams,Cedar Park,2019,Enrollment,149.0
34,Jane Addams,Hazel Wolf K-8,2019,Enrollment,726.0
35,Jane Addams,John Rogers,2019,Enrollment,325.0
36,Jane Addams,Olympic Hills,2019,Enrollment,451.0
37,Jane Addams,Sacajawea,2019,Enrollment,229.0
38,Madison,Alki,2019,Enrollment,359.0
39,Madison,Fairmount Park,2019,Enrollment,509.0
40,Madison,Gatewood,2019,Enrollment,401.0
41,Madison,Genesee Hill,2019,Enrollment,650.0
42,Madison,Lafayette,2019,Enrollment,425.0
43,Madison,Pathfinder K-8,2019,Enrollment,494.0
44,McClure,Catharine Blaine K-8,2019,Enrollment,629.0
45,McClure,Coe,2019,Enrollment,553.0
46,McClure,John Hay,2019,Enrollment,497.0
47,McClure,Lawton,2019,Enrollment,413.0
48,McClure,Magnolia,2019,Enrollment,276.0
49,McClure,Queen Anne,2019,Enrollment,222.0
50,Meany,Leschi,2019,Enrollment,358.0
51,Meany,Lowell,2019,Enrollment,273.0
52,Meany,Madrona*,2019,Enrollment,261.0
53,Meany,McGilvra,2019,Enrollment,238.0
54,Meany,Montlake,2019,Enrollment,251.0
55,Meany,Stevens,2019,Enrollment,229.0
56,Meany,TOPS K-8,2019,Enrollment,491.0
57,Mercer,Beacon Hill Intl,2019,Enrollment,418.0
58,Mercer,Dearborn Park Intl,2019,Enrollment,327.0
59,Mercer,Hawthorne,2019,Enrollment,430.0
60,Mercer,Kimball,2019,Enrollment,435.0
61,Mercer,Maple,2019,Enrollment,537.0
62,Mercer,Orca K-8,2019,Enrollment,401.0
63,Mercer,Rising Star,2019,Enrollment,401.0
64,Washington,Bailey Gatzert,2019,Enrollment,304.0
65,Washington,John Muir,2019,Enrollment,325.0
66,Washington,T. Marshall,2019,Enrollment,478.0
67,Whitman,Adams,2019,Enrollment,500.0
68,Whitman,Loyal Heights,2019,Enrollment,462.0
69,Whitman,North Beach,2019,Enrollment,389.0
70,Whitman,Salmon Bay K-8,2019,Enrollment,675.0
71,Whitman,Viewlands,2019,Enrollment,369.0
72,Whitman,Whittier,2019,Enrollment,444.0
73,Middle Schools,Aki Kurose,2019,Enrollment,656.0
74,Middle Schools,Denny Intl,2019,Enrollment,839.0
75,Middle Schools,Eagle Staff,2019,Enrollment,811.0
76,Middle Schools,Eckstein,2019,Enrollment,1089.0
77,Middle Schools,Hamilton Intl,2019,Enrollment,1047.0
78,Middle Schools,Jane Addams,2019,Enrollment,998.0
79,Middle Schools,Madison,2019,Enrollment,989.0
80,Middle Schools,McClure,2019,Enrollment,534.0
81,Middle Schools,Meany,2019,Enrollment,516.0
82,Middle Schools,Mercer Intl,2019,Enrollment,1115.0
83,Middle Schools,Washington,2019,Enrollment,606.0
84,Middle Schools,Whitman,2019,Enrollment,636.0
85,High Schools,Ballard,2019,Enrollment,1781.0
86,High Schools,Center School,2019,Enrollment,242.0
87,High Schools,Chief Sealth Intl,2019,Enrollment,1008.0
88,High Schools,Cleveland STEM,2019,Enrollment,867.0
89,High Schools,Franklin,2019,Enrollment,1194.0
90,High Schools,Garfield,2019,Enrollment,1632.0
91,High Schools,Ingraham,2019,Enrollment,1433.0
92,High Schools,Lincoln,2019,Enrollment,590.0
93,High Schools,Nathan Hale,2019,Enrollment,1095.0
94,High Schools,Rainier Beach,2019,Enrollment,717.0
95,High Schools,Roosevelt,2019,Enrollment,1741.0
96,High Schools,West Seattle,2019,Enrollment,1050.0
97,Service Schools,Bridges Transition Program,2019,Enrollment,130.0
98,Service Schools,Cascade Parent Partnership Program,2019,Enrollment,179.0
99,Service Schools,In Tandem,2019,Enrollment,16.0
100,Service Schools,InterAgency,2019,Enrollment,384.0
101,Service Schools,Middle College,2019,Enrollment,72.0
102,Service Schools,Non Public Agencies,2019,Enrollment,35.0
103,Service Schools,Nova**,2019,Enrollment,212.0
104,Service Schools,Seattle World School,2019,Enrollment,345.0
105,Service Schools,South Lake,2019,Enrollment,51.0
106,Service Schools,SpEd Consortium,2019,Enrollment,60.0
107,All,TOTAL,2019,Enrollment,53627.0
0,Aki Kurose,Dunlap,2020,Enrollment,253.0
1,Aki Kurose,Emerson,2020,Enrollment,339.0
2,Aki Kurose,Graham Hill,2020,Enrollment,299.0
3,Aki Kurose,Martin Luther King Jr.,2020,Enrollment,264.0
