,neighborhood,neighborhood_no,area,Year,Indicator Name,Value
15,North Beacon Hill,110,266.8762908,2010,10_year_frac_growth_all,0.0021129466000768342
16,Ballard-Interbay-Northend,501,931.9728637,2010,10_year_frac_growth_all,0.17155425219941348
18,Downtown,413,953.2817465,2010,10_year_frac_growth_all,0.2453723034098817
19,Uptown,412,333.000698,2010,10_year_frac_growth_all,0.43559488692232057
20,Rainier Beach,204,346.1438736,2010,10_year_frac_growth_all,-0.056464623185065684
21,23rd & Union-Jackson,109,625.2664128,2010,10_year_frac_growth_all,0.1640329401290897
22,Bitter Lake Village,114,363.7795662,2010,10_year_frac_growth_all,0.23537452159650082
23,Mt Baker,305,491.0180584,2010,10_year_frac_growth_all,0.171875
24,Admiral,113,98.24835065,2010,10_year_frac_growth_all,0.1301775147928994
25,Aurora-Licton Springs,101,326.9585992,2010,10_year_frac_growth_all,0.11999274968279862
26,Morgan Junction,206,113.3093773,2010,10_year_frac_growth_all,0.08483563096500531
27,Eastlake,107,199.2559558,2010,10_year_frac_growth_all,0.2476073619631902
28,Wallingford,203,258.0056129,2010,10_year_frac_growth_all,0.13541230640435328
29,Ballard,303,495.4763052,2010,10_year_frac_growth_all,0.21779859484777517
30,South Park,128,263.7986201,2010,10_year_frac_growth_all,0.11549660304108703
31,Othello,123,498.9632413,2010,10_year_frac_growth_all,0.42879019908116384
0,Upper Queen Anne,106,52.65872029,2020,10_year_frac_growth_all,0.2151189920671955
1,Fremont,302,214.511083,2020,10_year_frac_growth_all,0.475
2,West Seattle Junction,205,270.4170255,2020,10_year_frac_growth_all,0.8163791394011501
3,Columbia City,111,334.5433404,2020,10_year_frac_growth_all,0.6621826860490345
4,First Hill/Capitol Hill,414,916.2218015,2020,10_year_frac_growth_all,0.3700546082692522
5,Roosevelt,202,170.2117761,2020,10_year_frac_growth_all,0.7882262996941896
6,South Lake Union,312,339.886927,2020,10_year_frac_growth_all,2.419448860625331
7,University District,401,751.9638778,2020,10_year_frac_growth_all,0.30653551912568305
8,Crown Hill,103,270.9887543,2020,10_year_frac_growth_all,0.16750178954903364
9,Westwood-Highland Park,127,275.0621961,2020,10_year_frac_growth_all,0.03148067737733391
10,Lake City,201,142.2670425,2020,10_year_frac_growth_all,0.3031546550397538
11,Greater Duwamish,502,4953.281793,2020,10_year_frac_growth_all,0.7255639097744361
13,Green Lake,207,107.4446385,2020,10_year_frac_growth_all,0.3546831955922865
14,Northgate,301,412.2911233,2020,10_year_frac_growth_all,0.20090634441087613
15,North Beacon Hill,110,266.8762908,2020,10_year_frac_growth_all,0.10178263369752731
16,Ballard-Interbay-Northend,501,931.9728637,2020,10_year_frac_growth_all,0.15707133917396746
18,Downtown,413,953.2817465,2020,10_year_frac_growth_all,0.5599389062732827
19,Uptown,412,333.000698,2020,10_year_frac_growth_all,0.6219178082191781
20,Rainier Beach,204,346.1438736,2020,10_year_frac_growth_all,0.1797752808988764
21,23rd & Union-Jackson,109,625.2664128,2020,10_year_frac_growth_all,0.3011472275334608
22,Bitter Lake Village,114,363.7795662,2020,10_year_frac_growth_all,0.3498561628678911
23,Mt Baker,305,491.0180584,2020,10_year_frac_growth_all,0.27267605633802816
24,Admiral,113,98.24835065,2020,10_year_frac_growth_all,0.29450261780104714
25,Aurora-Licton Springs,101,326.9585992,2020,10_year_frac_growth_all,0.14322705939472408
26,Morgan Junction,206,113.3093773,2020,10_year_frac_growth_all,0.15640273704789834
27,Eastlake,107,199.2559558,2020,10_year_frac_growth_all,0.1998426435877262
28,Wallingford,203,258.0056129,2020,10_year_frac_growth_all,0.19926267281105992
29,Ballard,303,495.4763052,2020,10_year_frac_growth_all,0.5478146853146854
30,South Park,128,263.7986201,2020,10_year_frac_growth_all,-0.05974477958236659
31,Othello,123,498.9632413,2020,10_year_frac_growth_all,0.20653804930332262
